,PLAYER,MINS-PLAYED,SHOTS,SOT,GOALS,XG,CHANCES-CREATED,ASSISTS,XA,PASSES,PASS-%,TACKLES-WON,INT,REC,SHOT-ENDING,GOAL-ENDING,CHANCE-CREATING,ASSIST,TOTAL,ATTEMPTS,WIN-%
513,ROGELIO FUNES MORI,4,1,0,0,0.07,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0
514,ROMAIN SAÏSS,390,1,1,1,0.80,0,0,0.03,154,79,2,3,27,0,0,0,0,0,2,50
515,ROMARIO IBARRA,69,2,1,0,0.14,0,0,0.01,14,71,0,1,3,1,0,0,0,1,1,100
516,ROMELU LUKAKU,54,5,2,0,1.73,1,0,0.06,7,56,0,0,1,0,0,0,0,0,1,100
517,RONALD MATARRITA,24,0,0,0,0.00,0,0,0.00,23,65,0,0,4,0,0,0,0,0,1,100
518,ROOZBEH CHESHMI,57,1,1,1,0.05,0,0,0.00,10,60,0,2,4,0,0,0,0,0,0,0
519,RUBIN COLWILL,9,1,0,0,0.02,0,0,0.00,4,50,0,0,1,0,0,0,0,0,0,0
520,RUBÉN VARGAS,289,3,1,0,0.34,2,1,0.32,95,73,0,1,11,0,0,0,0,0,7,14
521,RÚBEN DIAS,270,1,0,0,0.03,0,0,0.01,164,90,2,1,12,0,0,0,0,0,0,0
522,RÚBEN NEVES,220,2,0,0,0.09,2,0,0.07,184,93,1,1,11,0,0,0,0,0,0,0
523,SADEGH MOHARRAMI,90,0,0,0,0.00,0,0,0.01,16,69,1,1,6,0,0,0,0,0,2,50
524,SAEID EZATOLAHI,218,3,1,0,0.10,2,0,0.37,79,76,1,2,17,2,0,1,0,3,1,0
525,SALEH AL SHEHRI,226,2,2,1,0.09,2,0,0.04,38,55,1,0,7,0,0,0,0,0,3,0
526,SALEM AL DAWSARI,270,8,4,2,0.97,5,0,0.26,104,81,4,1,16,2,1,3,0,6,10,20
527,SALIS ABDUL SAMED,251,1,0,0,0.02,1,0,0.05,139,91,2,4,15,0,0,0,0,0,4,75
528,SALMAN AL FARAJ,45,0,0,0,0.00,0,0,0.04,12,67,0,0,1,0,0,0,0,0,0,0
529,SAMAN GHODDOS,45,1,0,0,0.18,1,0,0.03,16,88,0,0,1,0,0,0,0,0,0,0
530,SAMI AL NAJI,45,0,0,0,0.00,0,0,0.01,16,75,0,0,2,0,0,0,0,0,0,0
531,SAMUEL ADEKUGBE,94,0,0,0,0.00,1,0,0.14,57,93,0,1,3,0,0,0,0,0,2,50
532,SAMUEL OUM GOUET,99,0,0,0,0.00,0,0,0.02,58,90,1,0,10,0,0,0,0,0,0,0
533,SARDAR AZMOUN,126,5,3,0,0.96,1,0,0.20,27,59,0,0,3,2,0,0,0,2,1,0
534,SASA LUKIC,246,1,0,0,0.06,0,0,0.10,158,88,0,1,19,0,0,0,0,0,1,0
535,SAUD ABDULHAMID,270,1,0,0,0.02,2,0,0.10,85,76,2,2,14,0,0,0,0,0,5,40
536,SEBASTIAN SZYMANSKI,136,0,0,0,0.00,0,0,0.11,38,66,3,2,6,0,0,0,0,0,3,33
537,SEBASTIÁN COATES,180,1,0,0,0.10,0,0,0.03,90,81,0,1,9,0,0,0,0,0,0,0
538,SELIM AMALLAH,264,1,0,0,0.04,2,0,0.08,42,81,4,5,7,0,0,1,0,1,5,0
539,SERGE GNABRY,264,12,4,1,1.09,6,1,0.66,105,75,2,2,11,2,0,1,1,4,5,60
540,SERGEJ,MILINKOVIC-SAVIC,236,3,1,1,0.17,0,0,0.23,117,72,1,2,18,0,0,0,0,0,6
541,SERGIO BUSQUETS,364,2,0,0,0.14,3,0,0.23,278,90,4,1,28,1,0,1,0,2,1,100
542,SERGIÑO DEST,309,6,0,0,0.24,3,1,0.51,167,90,2,2,13,5,0,1,0,6,14,35
543,SHAQ MOORE,20,0,0,0,0.00,0,0,0.01,20,65,2,0,2,0,0,0,0,0,0,0
544,SHOGO TANIGUCHI,210,2,0,0,0.25,0,0,0.01,81,84,0,1,8,0,0,0,0,0,0,0
545,SILVAN WIDMER,266,1,0,0,0.02,2,1,0.87,135,75,6,2,13,0,0,1,0,1,2,50
546,SIMON KJAER,65,0,0,0,0.00,0,0,0.02,59,85,0,5,6,0,0,0,0,0,0,0
547,SOFIANE BOUFAL,269,4,0,0,0.14,3,0,0.36,65,77,4,2,13,3,0,0,0,3,18,50
548,SOFYAN AMRABAT,390,0,0,0,0.00,0,0,0.04,161,86,8,6,33,0,0,0,0,0,4,0
549,SON,HEUNG-MIN,360,9,3,0,0.42,3,1,0.55,86,76,2,2,16,3,0,2,1,6,16
550,SON,JUN-HO,70,0,0,0,0.00,0,0,0.02,58,93,3,3,9,0,0,0,0,0,0
551,SORBA THOMAS,1,0,0,0,0.00,0,0,0.02,2,100,1,0,1,0,0,0,0,0,1,0
552,SRDJAN BABIC,12,0,0,0,0.00,0,0,0.00,15,60,0,0,1,0,0,0,0,0,0,0
553,STEFAN MITROVIC,34,0,0,0,0.00,0,0,0.00,21,86,0,0,1,0,0,0,0,0,0,0
554,STEPHEN EUSTÁQUIO,126,3,0,0,0.18,2,0,0.32,89,91,2,2,10,1,0,0,0,1,1,100
555,STEVEN BERGHUIS,124,3,0,0,0.09,1,0,0.08,87,78,1,0,6,1,0,0,0,1,2,0
556,STEVEN BERGWIJN,169,1,0,0,0.38,0,0,0.23,55,87,1,0,2,0,0,0,0,0,4,25
557,STEVEN VITÓRIA,270,0,0,0,0.00,0,0,0.03,182,86,3,0,18,0,0,0,0,0,1,0
558,STRAHINJA PAVLOVIC,236,2,1,1,0.17,0,0,0.06,151,77,2,1,18,0,0,0,0,0,3,66
559,SULTAN AL GHANNAM,125,2,0,0,0.16,1,0,0.12,30,70,0,2,4,0,0,0,0,0,3,0
560,TAHA YASSINE KHENISSI,27,1,0,0,0.02,1,0,0.03,6,33,0,0,0,0,0,0,0,0,0,0
561,TAJON BUCHANAN,261,5,0,0,0.95,4,1,0.54,73,71,1,3,14,0,0,2,1,3,28,25
562,TAKEFUSA KUBO,90,0,0,0,0.00,0,0,0.04,11,55,1,0,4,0,0,0,0,0,0,0
563,TAKEHIRO TOMIYASU,186,0,0,0,0.00,3,0,0.06,91,71,0,0,12,0,0,0,0,0,0,0
564,TAKUMA ASANO,162,8,2,1,0.66,2,0,0.04,27,78,0,1,8,3,1,1,0,5,2,0
565,TAKUMI MINAMINO,57,2,1,0,0.12,0,0,0.01,18,67,1,0,4,0,0,0,0,0,0,0
566,TAREK SALMAN,7,0,0,0,0.00,0,0,0.00,9,78,0,1,1,0,0,0,0,0,0,0
567,TARIQ LAMPTEY,102,1,0,0,0.06,0,0,0.02,21,67,1,1,8,0,0,0,0,0,3,0
568,TEUN KOOPMEINERS,142,2,1,0,0.08,1,0,0.03,76,72,4,4,9,0,0,0,0,0,3,33
569,THEO HERNÁNDEZ,257,4,1,0,0.28,8,1,0.90,174,91,5,2,11,0,0,3,0,3,4,25
570,THIAGO ALMADA,6,0,0,0,0.00,1,0,0.08,13,100,0,0,0,0,0,0,0,0,0,0
571,THIAGO SILVA,270,2,0,0,0.16,2,1,0.57,238,94,0,3,11,0,0,0,0,0,1,0
572,THILO KEHRER,70,0,0,0,0.00,0,0,0.00,24,79,2,3,3,0,0,0,0,0,0,0
573,THOMAS DELANEY,45,0,0,0,0.00,0,0,0.00,27,81,1,0,2,0,0,0,0,0,0,0
574,THOMAS MEUNIER,213,3,1,0,0.21,3,0,0.04,124,78,6,2,13,1,0,1,0,2,3,33
575,THOMAS MÜLLER,203,3,0,0,0.31,8,0,0.48,68,74,2,1,1,1,0,1,0,2,0,0
576,THOMAS PARTEY,270,2,0,0,0.21,2,0,0.16,170,84,5,0,21,0,0,0,0,0,4,75
577,THORGAN HAZARD,106,0,0,0,0.00,4,0,0.55,40,75,2,0,6,0,0,1,0,1,2,0
578,TIM REAM,360,1,1,0,0.30,0,0,0.04,269,88,3,4,19,0,0,0,0,0,2,100
579,TIMOTHY CASTAGNE,270,0,0,0,0.00,0,0,0.06,180,88,4,2,9,0,0,0,0,0,2,0
580,TIMOTHY WEAH,320,5,3,1,0.65,6,0,0.19,99,87,0,0,10,1,0,2,0,3,2,100
581,TOBY ALDERWEIRELD,270,0,0,0,0.00,1,1,0.42,267,91,2,0,8,0,0,0,0,0,1,0
582,TRENT,ALEXANDER-ARNOLD,33,0,0,0,0.00,0,0,0.02,20,95,0,0,1,0,0,0,0,0,0
583,TYLER ADAMS,360,1,0,0,0.02,2,0,0.38,253,90,9,4,33,0,0,0,0,0,1,100
584,URIEL ANTUNA,75,2,2,0,0.15,1,0,0.13,12,83,3,0,1,1,0,1,0,2,1,0
585,VICTOR NELSSON,90,0,0,0,0.00,0,0,0.01,71,93,0,2,3,0,0,0,0,0,0,0
586,VINCENT ABOUBAKAR,140,6,3,2,0.59,2,1,0.32,31,65,0,0,3,3,0,2,1,6,7,71
587,VINCENT JANSSEN,86,2,0,0,0.09,1,0,0.05,19,79,0,0,2,0,0,0,0,0,1,100
588,VINÍCIUS JÚNIOR,238,7,3,1,0.84,8,2,0.68,66,88,1,0,11,1,0,5,2,8,12,33
589,VIRGIL VAN DIJK,360,3,0,0,0.19,1,0,0.09,242,87,1,3,22,0,0,0,0,0,0,0
590,VITINHA,97,2,2,0,0.07,0,0,0.05,72,93,2,1,3,0,0,0,0,0,2,50
591,WAHBI KHAZRI,82,5,3,1,0.43,0,0,0.02,16,75,0,0,5,2,1,0,0,3,3,0
592,WAJDI KECHRIDA,109,0,0,0,0.00,1,0,0.11,43,57,3,0,6,0,0,0,0,0,4,0
593,WALID CHEDDIRA,38,2,1,0,0.47,0,0,0.00,4,50,0,0,0,1,0,0,0,1,0,0
594,WALKER ZIMMERMAN,278,1,0,0,0.07,0,0,0.02,239,89,2,4,17,0,0,0,0,0,0,0
595,WATARU ENDO,303,6,1,0,0.18,4,0,0.37,186,81,4,3,22,0,0,0,0,0,6,16
596,WESTON MCKENNIE,275,5,1,0,0.40,4,0,0.19,140,77,1,0,14,0,0,0,0,0,2,50
597,WILLIAM CARVALHO,214,1,0,0,0.07,0,0,0.04,164,92,5,0,15,0,0,0,0,0,0,0
598,WILLIAM SALIBA,27,0,0,0,0.00,1,0,0.01,37,100,0,0,3,0,0,0,0,0,1,100
599,WOUT WEGHORST,19,0,0,0,0.00,1,0,0.01,5,60,0,0,1,0,0,0,0,0,0,0
600,XAVI SIMONS,7,0,0,0,0.00,0,0,0.14,10,60,0,0,0,0,0,0,0,0,0,0
601,XHERDAN SHAQIRI,231,4,2,1,0.30,3,1,1.00,84,74,0,0,6,1,0,0,0,1,3,0
602,YAHYA,ATTIAT-ALLAH,91,0,0,0,0.00,0,0,0.00,23,74,1,0,7,0,0,0,0,0,1
603,YAHYA JABRANE,5,0,0,0,0.00,0,0,0.00,3,67,0,0,2,0,0,0,0,0,0,0
604,YANNICK CARRASCO,117,4,0,0,0.29,0,0,0.05,41,90,4,1,8,1,0,0,0,1,3,33
605,YASIR AL SHAHRANI,89,0,0,0,0.00,0,0,0.00,21,38,1,6,5,0,0,0,0,0,0,0
606,YASSINE MERIAH,270,1,0,0,0.07,1,0,0.03,161,83,2,1,16,0,0,0,0,0,4,50
607,YELTSIN TEJEDA,269,2,2,1,0.43,1,1,0.04,97,79,2,1,14,0,0,1,1,2,2,0
608,YOURI TIELEMANS,93,0,0,0,0.00,1,0,0.07,59,83,1,2,9,0,0,0,0,0,0,0
609,YOUSSEF,EN-NESYRI,326,2,1,1,0.34,0,0,0.02,44,61,1,0,11,1,1,0,0,2,6
610,YOUSSEF MSAKNI,170,9,2,0,0.54,4,0,0.58,59,71,1,0,9,2,0,1,0,3,7,57
611,YOUSSOUF FOFANA,111,1,0,0,0.04,1,0,0.10,66,88,2,1,10,1,0,1,0,2,0,0
612,YOUSSOUF SABALY,360,2,1,0,0.04,7,0,0.72,184,87,6,4,27,0,0,2,0,2,10,40
613,YOUSSOUFA MOUKOKO,1,0,0,0,0.00,0,0,0.00,1,100,0,0,1,0,0,0,0,0,0,0
614,YOUSTIN SALAS,46,0,0,0,0.00,0,0,0.00,15,73,1,0,5,0,0,0,0,0,2,50
615,YUKI SOMA,82,3,0,0,0.19,0,0,0.01,9,78,0,0,2,1,0,0,0,1,2,50
616,YUNUS MUSAH,345,4,1,0,0.31,3,0,0.20,171,87,6,2,23,1,0,1,0,2,12,33
617,YUTO NAGATOMO,211,0,0,0,0.00,1,0,0.05,82,74,2,0,11,0,0,1,0,1,4,75
618,ZAKARIA ABOUKHLAL,42,1,1,1,0.39,0,0,0.00,7,56,1,1,3,0,0,0,0,0,1,0
619,ÁLVARO MORATA,183,8,5,3,1.36,2,1,0.13,40,68,1,0,2,0,0,1,0,1,3,33
620,ÁLVARO ZAMORA,29,0,0,0,0.00,0,0,0.00,5,100,0,1,1,0,0,0,0,0,0,0
621,ÁNGEL DI MARÍA,218,4,2,0,0.14,6,1,0.45,100,85,1,0,4,1,0,1,0,2,20,45
622,ÉDER MILITÃO,243,2,1,0,0.07,1,0,0.04,176,91,3,1,18,0,0,0,0,0,0,0
623,ÉRICK GUTIÉRREZ,48,0,0,0,0.00,0,0,0.01,28,82,1,2,3,0,0,0,0,0,1,0
624,ÉVERTON RIBEIRO,35,0,0,0,0.00,2,0,0.10,16,88,0,0,0,0,0,1,0,1,1,0
625,ÓSCAR DUARTE,270,0,0,0,0.00,2,0,0.01,89,70,2,6,9,0,0,0,0,0,0,0
